ld8,H_all1,H_all2,H_all3,H_all4,H_all5,H_all6,H_all7,H_all8,H_all9,H_all10,H_all11,H_all12,H_all13
11690_20180920,1.3782234525233,1.48635613736443,1.46960430113449,1.43724315025676,1.47313604073051,1.66231860609157,1.47537260813012,1.36577742739638,1.49129994733797,1.54306100195487,1.28532408828973,1.23527793259111,1.22058054448839
11692_20181019,1.20342289549559,1.12715602449205,1.18295430509986,1.1388213288241,1.32931969226452,1.14846911803953,1.1851044021784,1.26143066628702,0.992959520967225,0.932376105503864,1.06420674526258,1.03817551064725,1.14939666682119
11692_20200918,1.46131868325006,1.44988188076723,1.50481970803813,1.22488376427816,1.33717348274331,1.50441578538971,1.23443567900882,1.23679783860434,1.27965463407927,1.37929825567119,1.36937730968137,1.42025593944862,1.24885514915993
11693_20181001,1.63910123284595,1.52311337450472,1.51661258556829,1.41413804758669,1.33965649073774,1.40538158198881,1.44269327182405,1.4891268572933,1.50471839787201,1.47566490211118,1.32805156535698,1.01593653498242,1.29100735434563
11693_20200727,1.4124514332793,1.2573365588803,1.24213333574528,1.22600965287209,1.41711951980371,1.29567632310395,1.23682070012353,1.3405789958531,1.41226759500019,1.37208168025582,1.04608787069017,1.24688435153563,1.2009577024656
11693_20211004,1.45965900042914,1.53526182352651,1.67714075341,1.42815737283568,1.4858415345181,1.42453143159895,1.55296886661469,1.32173351224833,1.3120366114788,1.38991402256424,1.54630528659117,1.4711438273068,1.37099408154508
11694_20181029,1.24651890701312,1.20313990260836,1.39731640684999,1.33105075988599,1.25247111247661,1.256549564301,1.34659034897303,1.10827375473563,1.10390419369373,1.17324691553773,1.0321260441625,1.09164355445066,1.52211028728779
11695_20181005,1.33707053327167,1.3745256267865,1.33833995673465,1.20046909201429,1.37985670557302,1.46577882755056,1.25735555892765,1.19086091912225,1.22987879959678,1.20516020437808,1.35335284823916,1.24067764077719,1.11652762978451
11697_20181105,1.47142594926637,1.4946251264227,1.36550994236374,1.29631306166336,1.30249139194092,1.42082927274995,1.25366101446073,1.21637338760078,1.34140546060707,1.40413843772271,1.38503931836636,1.12306400886252,1.52239932906335
11698_20181116,1.27709610540725,1.30814518940007,1.30287571355662,1.25151330608213,1.47562833592026,1.34639460951741,1.36086262788438,1.32382256784994,1.3706196995472,1.26880366188751,1.22344174966342,1.24329538683879,1.32640649113749
11700_20201113,1.55277246486608,1.4893613479173,1.43285184360995,1.24123795653583,1.43467960259058,1.49756454609871,1.37747039586451,1.39429066589069,1.3934126245649,1.31715246781997,1.45900923691639,1.51113955692807,1.44899879253423
11701_20181015,1.61400088443067,1.54088693262706,1.49029400822441,1.37659415275094,1.58350321285368,1.6926724718491,1.64872394940126,1.38626651869026,1.49707332314133,1.27300685446143,1.10320304874837,1.36154472676268,1.37274488818488
11702_20181109,1.57279516343038,1.61484805998021,1.5110315872553,1.65507215126877,1.63798967394084,1.60056141674501,1.49342511967205,1.30422529377075,1.49659484602508,1.5580818618629,1.38194396143934,1.5913723101501,1.56527162321499
11702_20211119,1.55004936403726,1.61467052113545,1.45534660136108,1.33941831246849,1.51028827231512,1.45864507136257,1.53763798978835,1.29714141999942,1.41710065583677,1.43278001216919,1.22987931618005,1.53046636928186,1.56494686139221
11703_20181019,1.56486571246772,1.4742099521379,1.40081076606191,1.56465202717794,1.48942745846401,1.60736468281658,1.46289747202171,1.41863265813597,1.50151555328133,1.49264273529776,1.56105508323986,1.52288551600271,1.54887918801751
11704_20181103,1.43870291185324,1.19027298733739,1.20827606425045,1.14207472581712,1.26924805038684,1.4298531129642,1.29843327882668,1.33109370389097,1.31189067280328,1.35619322444927,0.90596311930128,1.20808998436915,1.18284158886931
11706_20190322,1.19513367103818,1.34002662440695,1.39385653691575,1.260735645294,1.48540880063996,1.54727728591684,1.30653540133863,1.26173429968753,1.21828274233819,1.19093095008308,1.11065107638652,1.20239707742639,1.41417279826589
11708_20181112,1.60792975352813,1.59475654271092,1.40796975682546,1.30273827977724,1.67052565568386,1.58898577080805,1.54718434249807,1.18527647566204,1.43980330988768,1.25694388560553,1.31461138735352,1.31078663132449,1.4931577150823
11709_20181129,1.47250157780314,1.3499979914681,1.18596360326586,1.3052714908975,1.21421148665238,1.36524873412183,1.47407473902954,1.51750771342985,1.23281288055796,1.17215609902728,1.4894851694516,1.40664662947728,1.24084259197011
11710_20200911,1.5730853934988,1.51946152921898,1.4084035253527,1.44324297143884,1.48573244569688,1.3596181516322,1.38193644515758,1.49188095564163,1.54423359694678,1.41579256647334,1.2595680048107,1.44890228862667,1.48171621043246
